Sumber,Komoditi,Tingkat,Provinsi,Tanggal,Harga
PIHPS,Daging Ayam Ras Segar,Pasar Modern,Provinsi,2026-01-01,39900.0
PIHPS,Daging Ayam Ras Segar,Pasar Modern,Kota Singkawang,2026-01-01,39900.0
PIHPS,Daging Sapi Kuailitas I,Pasar Modern,Provinsi,2026-01-01,128000.0
PIHPS,Daging Sapi Kuailitas II,Pasar Modern,Provinsi,2026-01-01,156000.0
PIHPS,Daging Sapi Kuailitas II,Pasar Modern,Kota Singkawang,2026-01-01,156000.0
PIHPS,Telur Ayam Ras Segar,Pasar Modern,Provinsi,2026-01-01,34500.0
PIHPS,Telur Ayam Ras Segar,Pasar Modern,Kota Singkawang,2026-01-01,34500.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Provinsi,2026-01-02,154000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Sambas,2026-01-02,160000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Mempawah,2026-01-02,140000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Sanggau,2026-01-02,150000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Ketapang,2026-01-02,150000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Sintang,2026-01-02,150000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Kapuas Hulu,2026-01-02,180000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Bengkayang,2026-01-02,170000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Landak,2026-01-02,160000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Sekadau,2026-01-02,160000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Melawi,2026-01-02,160000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Kayong Utara,2026-01-02,160000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Kubu Raya,2026-01-02,150000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Pontianak,2026-01-02,150000.0
SP2KP,Daging Sapi Paha Belakang,Konsumen,Singkawang,2026-01-02,160000.0
SP2KP,Daging Ayam Ras,Konsumen,Provinsi,2026-01-02,47667.0
SP2KP,Daging Ayam Ras,Konsumen,Sambas,2026-01-02,42000.0
SP2KP,Daging Ayam Ras,Konsumen,Mempawah,2026-01-02,38000.0
SP2KP,Daging Ayam Ras,Konsumen,Sanggau,2026-01-02,42000.0
SP2KP,Daging Ayam Ras,Konsumen,Ketapang,2026-01-02,45000.0
SP2KP,Daging Ayam Ras,Konsumen,Sintang,2026-01-02,45000.0
SP2KP,Daging Ayam Ras,Konsumen,Kapuas Hulu,2026-01-02,45000.0
SP2KP,Daging Ayam Ras,Konsumen,Bengkayang,2026-01-02,47000.0
SP2KP,Daging Ayam Ras,Konsumen,Landak,2026-01-02,45000.0
SP2KP,Daging Ayam Ras,Konsumen,Sekadau,2026-01-02,46000.0
SP2KP,Daging Ayam Ras,Konsumen,Melawi,2026-01-02,50000.0
SP2KP,Daging Ayam Ras,Konsumen,Kayong Utara,2026-01-02,50000.0
SP2KP,Daging Ayam Ras,Konsumen,Kubu Raya,2026-01-02,39000.0
SP2KP,Daging Ayam Ras,Konsumen,Pontianak,2026-01-02,43333.0
SP2KP,Daging Ayam Ras,Konsumen,Singkawang,2026-01-02,55000.0
SP2KP,Telur Ayam Ras,Konsumen,Provinsi,2026-01-02,37080.0
SP2KP,Telur Ayam Ras,Konsumen,Sambas,2026-01-02,33000.0
SP2KP,Telur Ayam Ras,Konsumen,Mempawah,2026-01-02,34000.0
SP2KP,Telur Ayam Ras,Konsumen,Sanggau,2026-01-02,32000.0
SP2KP,Telur Ayam Ras,Konsumen,Ketapang,2026-01-02,40000.0
